Date_Time (GMT), Event, Speed (cm/sec)
2020-01-12 05:20, slack,-
2020-01-12 10:17, flood,53
2020-01-12 13:50, slack,-
2020-01-12 15:45, ebb,-40
2020-01-12 18:02, slack,-
2020-01-12 23:11, flood,52
2020-01-13 02:32, slack,-
2020-01-13 04:09, ebb,-36
2020-01-13 06:08, slack,-
2020-01-13 11:11, flood,53
2020-01-13 14:44, slack,-
2020-01-13 16:33, ebb,-41
2020-01-13 18:50, slack,-
2020-01-14 00:05, flood,53
2020-01-14 03:26, slack,-
2020-01-14 04:57, ebb,-37
2020-01-14 07:02, slack,-
2020-01-14 12:05, flood,52
2020-01-14 15:32, slack,-
2020-01-14 17:21, ebb,-40
2020-01-14 19:38, slack,-
2020-01-15 01:05, flood,52
2020-01-15 04:14, slack,-
2020-01-15 05:51, ebb,-37
2020-01-15 07:56, slack,-
2020-01-15 13:11, flood,50
2020-01-15 16:26, slack,-
2020-01-15 18:15, ebb,-39
2020-01-15 20:32, slack,-
2020-01-16 01:59, flood,52
2020-01-16 05:08, slack,-
2020-01-16 06:45, ebb,-36
2020-01-16 09:02, slack,-
2020-01-16 14:11, flood,48
2020-01-16 17:26, slack,-
2020-01-16 19:03, ebb,-37
2020-01-16 21:32, slack,-
2020-01-17 02:53, flood,51
2020-01-17 06:02, slack,-
2020-01-17 07:33, ebb,-34
2020-01-17 10:08, slack,-
2020-01-17 15:17, flood,46
2020-01-17 18:26, slack,-
2020-01-17 19:57, ebb,-33
2020-01-17 22:32, slack,-
2020-01-18 03:53, flood,49
2020-01-18 06:56, slack,-
2020-01-18 08:33, ebb,-32
2020-01-18 11:08, slack,-
2020-01-18 16:23, flood,44
2020-01-18 19:26, slack,-
2020-01-18 20:57, ebb,-30
2020-01-18 23:32, slack,-
2020-01-19 04:53, flood,46
2020-01-19 07:56, slack,-
2020-01-19 09:33, ebb,-30
2020-01-19 12:14, slack,-
2020-01-19 18:17, flood,43
2020-01-19 20:26, slack,-
2020-01-19 22:03, ebb,-28
2020-01-20 00:26, slack,-
2020-01-20 06:35, flood,45
2020-01-20 08:56, slack,-
2020-01-20 10:39, ebb,-29
2020-01-20 13:14, slack,-
2020-01-20 19:29, flood,45
2020-01-20 21:26, slack,-
2020-01-20 23:09, ebb,-26
2020-01-21 01:26, slack,-
2020-01-21 07:53, flood,45
2020-01-21 09:50, slack,-
2020-01-21 11:57, ebb,-30
2020-01-21 14:14, slack,-
2020-01-21 20:35, flood,49
2020-01-21 22:26, slack,-
2020-01-22 00:21, ebb,-27
2020-01-22 02:20, slack,-
2020-01-22 08:53, flood,46
2020-01-22 10:50, slack,-
2020-01-22 13:03, ebb,-30
2020-01-22 15:08, slack,-
2020-01-22 21:29, flood,52
2020-01-22 23:26, slack,-
2020-01-23 01:27, ebb,-27
2020-01-23 03:14, slack,-
2020-01-23 09:47, flood,48
2020-01-23 11:38, slack,-
2020-01-23 13:57, ebb,-31
2020-01-23 15:56, slack,-
2020-01-23 22:23, flood,55
2020-01-24 00:14, slack,-
2020-01-24 02:21, ebb,-28
2020-01-24 04:02, slack,-
2020-01-24 10:35, flood,48
2020-01-24 12:26, slack,-
2020-01-24 14:39, ebb,-31
2020-01-24 16:44, slack,-
2020-01-24 23:11, flood,54
2020-01-25 01:02, slack,-
2020-01-25 03:09, ebb,-28
2020-01-25 04:50, slack,-
2020-01-25 11:23, flood,47
2020-01-25 13:14, slack,-
2020-01-25 15:15, ebb,-31
2020-01-25 17:32, slack,-
2020-01-25 23:59, flood,52
2020-01-26 01:50, slack,-
2020-01-26 03:39, ebb,-28
2020-01-26 05:38, slack,-
2020-01-26 12:05, flood,44
2020-01-26 14:02, slack,-
2020-01-26 15:51, ebb,-31
2020-01-26 18:14, slack,-
2020-01-27 00:41, flood,49
2020-01-27 02:38, slack,-
2020-01-27 04:15, ebb,-28
2020-01-27 06:26, slack,-
2020-01-27 12:47, flood,41
2020-01-27 14:44, slack,-
2020-01-27 16:27, ebb,-30
2020-01-27 18:56, slack,-
2020-01-28 01:29, flood,45
2020-01-28 03:20, slack,-
2020-01-28 04:57, ebb,-27
2020-01-28 07:08, slack,-
2020-01-28 12:11, flood,38
2020-01-28 15:32, slack,-
2020-01-28 17:03, ebb,-30
2020-01-28 19:38, slack,-
2020-01-29 02:11, flood,40
2020-01-29 04:02, slack,-
2020-01-29 05:33, ebb,-26
2020-01-29 07:56, slack,-
2020-01-29 12:47, flood,36
2020-01-29 16:14, slack,-
2020-01-29 17:45, ebb,-29
2020-01-29 20:20, slack,-
2020-01-30 02:41, flood,36
2020-01-30 04:44, slack,-
2020-01-30 06:15, ebb,-26
2020-01-30 08:44, slack,-
2020-01-30 13:29, flood,35
2020-01-30 16:56, slack,-
2020-01-30 18:27, ebb,-28
2020-01-30 21:02, slack,-
2020-01-31 01:59, flood,35
2020-01-31 05:32, slack,-
2020-01-31 06:57, ebb,-25
2020-01-31 09:32, slack,-
2020-01-31 14:17, flood,34
2020-01-31 17:38, slack,-
2020-01-31 19:15, ebb,-26
2020-01-31 21:50, slack,-
2020-02-01 02:35, flood,35
2020-02-01 06:14, slack,-
2020-02-01 07:39, ebb,-24
2020-02-01 10:26, slack,-
2020-02-01 14:59, flood,33
2020-02-01 18:26, slack,-
2020-02-01 19:57, ebb,-25
2020-02-01 22:32, slack,-
2020-02-02 03:17, flood,36
2020-02-02 06:56, slack,-
2020-02-02 08:27, ebb,-24
2020-02-02 11:20, slack,-
2020-02-02 15:47, flood,33
2020-02-02 19:14, slack,-
2020-02-02 20:45, ebb,-24
2020-02-02 23:20, slack,-
2020-02-03 03:59, flood,36
2020-02-03 07:38, slack,-
2020-02-03 09:21, ebb,-24
2020-02-03 12:08, slack,-
2020-02-03 16:41, flood,33
2020-02-03 20:08, slack,-
2020-02-03 21:39, ebb,-23
2020-02-04 00:08, slack,-
2020-02-04 04:47, flood,37
2020-02-04 08:32, slack,-
2020-02-04 10:09, ebb,-25
2020-02-04 12:56, slack,-
2020-02-04 17:29, flood,35
2020-02-04 21:02, slack,-
2020-02-04 22:39, ebb,-24
2020-02-05 00:56, slack,-
2020-02-05 05:35, flood,39
2020-02-05 09:20, slack,-
2020-02-05 11:09, ebb,-27
2020-02-05 13:44, slack,-
2020-02-05 18:23, flood,37
2020-02-05 22:02, slack,-
2020-02-05 23:33, ebb,-26
2020-02-06 01:44, slack,-
2020-02-06 06:23, flood,42
2020-02-06 10:14, slack,-
2020-02-06 11:57, ebb,-30
2020-02-06 14:32, slack,-
2020-02-06 19:17, flood,40
2020-02-06 22:50, slack,-
2020-02-07 00:27, ebb,-29
2020-02-07 02:32, slack,-
2020-02-07 07:17, flood,45
2020-02-07 11:02, slack,-
2020-02-07 12:51, ebb,-33
2020-02-07 15:20, slack,-
2020-02-07 20:17, flood,44
2020-02-07 23:44, slack,-
2020-02-08 01:15, ebb,-31
2020-02-08 03:20, slack,-
2020-02-08 08:17, flood,49
2020-02-08 11:56, slack,-
2020-02-08 13:39, ebb,-36
2020-02-08 16:08, slack,-
2020-02-08 21:17, flood,49
2020-02-09 00:32, slack,-
2020-02-09 02:09, ebb,-34
2020-02-09 04:08, slack,-
2020-02-09 09:11, flood,52
2020-02-09 12:44, slack,-
2020-02-09 14:33, ebb,-39
2020-02-09 16:56, slack,-
2020-02-09 22:05, flood,53
2020-02-10 01:20, slack,-
2020-02-10 02:57, ebb,-36
2020-02-10 05:02, slack,-
2020-02-10 10:05, flood,55
2020-02-10 13:32, slack,-
2020-02-10 15:21, ebb,-41
2020-02-10 17:44, slack,-
2020-02-10 22:53, flood,55
2020-02-11 02:14, slack,-
2020-02-11 03:51, ebb,-38
2020-02-11 05:50, slack,-
2020-02-11 10:59, flood,56
2020-02-11 14:26, slack,-
2020-02-11 16:09, ebb,-41
2020-02-11 18:32, slack,-
2020-02-11 23:47, flood,55
2020-02-12 03:02, slack,-
2020-02-12 04:39, ebb,-39
2020-02-12 06:44, slack,-
2020-02-12 11:53, flood,54
2020-02-12 15:20, slack,-
2020-02-12 17:03, ebb,-41
2020-02-12 19:20, slack,-
2020-02-13 00:41, flood,54
2020-02-13 03:50, slack,-
2020-02-13 05:27, ebb,-38
2020-02-13 07:38, slack,-
2020-02-13 12:53, flood,51
2020-02-13 16:14, slack,-
2020-02-13 17:51, ebb,-39
2020-02-13 20:08, slack,-
2020-02-14 01:41, flood,52
2020-02-14 04:44, slack,-
2020-02-14 06:21, ebb,-37
2020-02-14 08:38, slack,-
2020-02-14 14:05, flood,48
2020-02-14 17:08, slack,-
2020-02-14 18:45, ebb,-36
2020-02-14 21:08, slack,-
2020-02-15 02:35, flood,49
2020-02-15 05:38, slack,-
2020-02-15 07:15, ebb,-34
2020-02-15 09:44, slack,-
2020-02-15 15:11, flood,45
2020-02-15 18:02, slack,-
2020-02-15 19:39, ebb,-32
2020-02-15 22:08, slack,-
2020-02-16 03:35, flood,46
2020-02-16 06:32, slack,-
2020-02-16 08:09, ebb,-31
2020-02-16 10:50, slack,-
2020-02-16 16:47, flood,42
2020-02-16 19:02, slack,-
2020-02-16 20:33, ebb,-28
2020-02-16 23:08, slack,-
2020-02-17 04:59, flood,42
2020-02-17 07:32, slack,-
2020-02-17 09:03, ebb,-28
2020-02-17 11:56, slack,-
2020-02-17 18:11, flood,43
2020-02-17 20:08, slack,-
2020-02-17 21:33, ebb,-25
2020-02-18 00:08, slack,-
2020-02-18 06:29, flood,41
2020-02-18 08:32, slack,-
2020-02-18 10:15, ebb,-27
2020-02-18 12:56, slack,-
2020-02-18 19:17, flood,45
2020-02-18 21:08, slack,-
2020-02-18 23:03, ebb,-24
2020-02-19 01:08, slack,-
2020-02-19 07:35, flood,42
2020-02-19 09:32, slack,-
2020-02-19 12:27, ebb,-27
2020-02-19 13:56, slack,-
2020-02-19 20:17, flood,48
2020-02-19 22:08, slack,-
2020-02-20 00:45, ebb,-25
2020-02-20 02:02, slack,-
2020-02-20 08:35, flood,44
2020-02-20 10:26, slack,-
2020-02-20 13:15, ebb,-28
2020-02-20 14:50, slack,-
2020-02-20 21:11, flood,51
2020-02-20 23:02, slack,-
2020-02-21 01:33, ebb,-26
2020-02-21 02:56, slack,-
2020-02-21 09:29, flood,46
2020-02-21 11:20, slack,-
2020-02-21 14:09, ebb,-29
2020-02-21 15:38, slack,-
2020-02-21 21:59, flood,53
2020-02-21 23:50, slack,-
2020-02-22 02:21, ebb,-27
2020-02-22 03:44, slack,-
2020-02-22 10:17, flood,47
2020-02-22 12:08, slack,-
2020-02-22 14:45, ebb,-30
2020-02-22 16:20, slack,-
2020-02-22 22:47, flood,53
2020-02-23 00:38, slack,-
2020-02-23 03:03, ebb,-28
2020-02-23 04:26, slack,-
2020-02-23 10:59, flood,47
2020-02-23 12:50, slack,-
2020-02-23 15:03, ebb,-30
2020-02-23 17:08, slack,-
2020-02-23 23:29, flood,50
2020-02-24 01:26, slack,-
2020-02-24 03:21, ebb,-28
2020-02-24 05:14, slack,-
2020-02-24 11:35, flood,44
2020-02-24 13:32, slack,-
2020-02-24 15:21, ebb,-30
2020-02-24 17:44, slack,-
2020-02-25 00:11, flood,46
2020-02-25 02:08, slack,-
2020-02-25 03:51, ebb,-28
2020-02-25 05:56, slack,-
2020-02-25 11:11, flood,41
2020-02-25 14:20, slack,-
2020-02-25 15:57, ebb,-30
2020-02-25 18:20, slack,-
2020-02-26 00:53, flood,42
2020-02-26 02:50, slack,-
2020-02-26 04:21, ebb,-28
2020-02-26 06:38, slack,-
2020-02-26 11:29, flood,40
2020-02-26 14:56, slack,-
2020-02-26 16:33, ebb,-30
2020-02-26 19:02, slack,-
2020-02-26 23:59, flood,38
2020-02-27 03:26, slack,-
2020-02-27 05:03, ebb,-28
2020-02-27 07:20, slack,-
2020-02-27 12:05, flood,39
2020-02-27 15:38, slack,-
2020-02-27 17:15, ebb,-30
2020-02-27 19:38, slack,-
2020-02-28 00:29, flood,38
2020-02-28 04:08, slack,-
2020-02-28 05:39, ebb,-28
2020-02-28 08:08, slack,-
2020-02-28 12:47, flood,37
2020-02-28 16:20, slack,-
2020-02-28 17:57, ebb,-29
2020-02-28 20:14, slack,-
2020-02-29 01:11, flood,37
2020-02-29 04:50, slack,-
2020-02-29 06:21, ebb,-27
2020-02-29 08:56, slack,-
2020-02-29 13:41, flood,36
2020-02-29 17:02, slack,-
2020-02-29 18:39, ebb,-28
2020-02-29 21:02, slack,-
2020-03-01 01:53, flood,37
2020-03-01 05:26, slack,-
2020-03-01 07:09, ebb,-27
2020-03-01 09:44, slack,-
2020-03-01 14:29, flood,35
2020-03-01 17:50, slack,-
2020-03-01 19:27, ebb,-27
2020-03-01 21:50, slack,-
2020-03-02 02:41, flood,37
2020-03-02 06:08, slack,-
2020-03-02 07:51, ebb,-26
2020-03-02 10:38, slack,-
2020-03-02 15:17, flood,35
2020-03-02 18:44, slack,-
2020-03-02 20:15, ebb,-26
2020-03-02 22:38, slack,-
2020-03-03 03:23, flood,38
2020-03-03 06:56, slack,-
2020-03-03 08:45, ebb,-26
2020-03-03 11:32, slack,-
2020-03-03 16:11, flood,35
2020-03-03 19:38, slack,-
2020-03-03 21:09, ebb,-25
2020-03-03 23:32, slack,-
2020-03-04 04:17, flood,38
2020-03-04 07:50, slack,-
2020-03-04 09:39, ebb,-27
2020-03-04 12:20, slack,-
2020-03-04 17:05, flood,37
2020-03-04 20:32, slack,-
2020-03-04 22:09, ebb,-25
2020-03-05 00:26, slack,-
2020-03-05 05:11, flood,40
2020-03-05 08:50, slack,-
2020-03-05 10:33, ebb,-28
2020-03-05 13:14, slack,-
2020-03-05 17:59, flood,39
2020-03-05 21:32, slack,-
2020-03-05 23:03, ebb,-27
2020-03-06 01:20, slack,-
2020-03-06 06:05, flood,43
2020-03-06 09:44, slack,-
2020-03-06 11:33, ebb,-31
2020-03-06 14:08, slack,-
2020-03-06 18:59, flood,42
2020-03-06 22:26, slack,-
2020-03-07 00:03, ebb,-30
2020-03-07 02:08, slack,-
2020-03-07 06:59, flood,46
2020-03-07 10:38, slack,-
2020-03-07 12:27, ebb,-34
2020-03-07 14:56, slack,-
2020-03-07 19:59, flood,46
2020-03-07 23:20, slack,-
2020-03-08 00:57, ebb,-33
2020-03-08 03:02, slack,-
2020-03-08 07:59, flood,50
2020-03-08 11:32, slack,-
2020-03-08 13:21, ebb,-37
2020-03-08 15:44, slack,-
2020-03-08 20:59, flood,51
2020-03-09 00:08, slack,-
2020-03-09 01:45, ebb,-36
2020-03-09 03:56, slack,-
2020-03-09 08:59, flood,54
2020-03-09 12:26, slack,-
2020-03-09 14:09, ebb,-39
2020-03-09 16:32, slack,-
2020-03-09 21:53, flood,55
2020-03-10 01:02, slack,-
2020-03-10 02:39, ebb,-38
2020-03-10 04:44, slack,-
2020-03-10 09:53, flood,57
2020-03-10 13:14, slack,-
2020-03-10 15:03, ebb,-41
2020-03-10 17:20, slack,-
2020-03-10 22:41, flood,57
2020-03-11 01:50, slack,-
2020-03-11 03:27, ebb,-39
2020-03-11 05:38, slack,-
2020-03-11 10:47, flood,57
2020-03-11 14:08, slack,-
2020-03-11 15:51, ebb,-41
2020-03-11 18:08, slack,-
2020-03-11 23:23, flood,56
2020-03-12 02:38, slack,-
2020-03-12 04:21, ebb,-40
2020-03-12 06:32, slack,-
2020-03-12 11:41, flood,55
2020-03-12 15:02, slack,-
2020-03-12 16:39, ebb,-40
2020-03-12 18:56, slack,-
2020-03-13 00:17, flood,53
2020-03-13 03:32, slack,-
2020-03-13 05:09, ebb,-39
2020-03-13 07:26, slack,-
2020-03-13 12:47, flood,51
2020-03-13 15:56, slack,-
2020-03-13 17:33, ebb,-37
2020-03-13 19:44, slack,-
2020-03-14 01:17, flood,50
2020-03-14 04:20, slack,-
2020-03-14 05:57, ebb,-37
2020-03-14 08:20, slack,-
2020-03-14 14:11, flood,47
2020-03-14 16:50, slack,-
2020-03-14 18:21, ebb,-34
2020-03-14 20:44, slack,-
2020-03-15 02:23, flood,46
2020-03-15 05:14, slack,-
2020-03-15 06:51, ebb,-34
2020-03-15 09:26, slack,-
2020-03-15 15:35, flood,45
2020-03-15 17:44, slack,-
2020-03-15 19:15, ebb,-30
2020-03-15 21:44, slack,-
2020-03-16 03:35, flood,42
2020-03-16 06:08, slack,-
2020-03-16 07:39, ebb,-30
2020-03-16 10:32, slack,-
2020-03-16 16:47, flood,43
2020-03-16 18:44, slack,-
2020-03-16 20:09, ebb,-26
2020-03-16 22:44, slack,-
2020-03-17 05:05, flood,39
2020-03-17 07:08, slack,-
2020-03-17 08:39, ebb,-27
2020-03-17 11:38, slack,-
2020-03-17 17:53, flood,43
2020-03-17 19:44, slack,-
2020-03-17 21:09, ebb,-23
2020-03-17 23:50, slack,-
2020-03-18 06:11, flood,39
2020-03-18 08:08, slack,-
2020-03-18 09:45, ebb,-24
2020-03-18 12:38, slack,-
2020-03-18 18:53, flood,44
2020-03-18 20:44, slack,-
2020-03-18 23:39, ebb,-23
2020-03-19 00:44, slack,-
2020-03-19 07:11, flood,40
2020-03-19 09:02, slack,-
2020-03-19 12:15, ebb,-25
2020-03-19 13:32, slack,-
2020-03-19 19:53, flood,46
2020-03-19 21:44, slack,-
2020-03-20 00:33, ebb,-24
2020-03-20 01:38, slack,-
2020-03-20 08:11, flood,42
2020-03-20 10:02, slack,-
2020-03-20 13:03, ebb,-27
2020-03-20 14:20, slack,-
2020-03-20 20:47, flood,48
2020-03-20 22:38, slack,-
2020-03-21 01:21, ebb,-26
2020-03-21 02:32, slack,-
2020-03-21 09:05, flood,44
2020-03-21 10:50, slack,-
2020-03-21 13:45, ebb,-28
2020-03-21 15:08, slack,-
2020-03-21 21:35, flood,49
2020-03-21 23:26, slack,-
2020-03-22 02:03, ebb,-27
2020-03-22 03:20, slack,-
2020-03-22 09:47, flood,45
2020-03-22 11:38, slack,-
2020-03-22 14:21, ebb,-28
2020-03-22 15:50, slack,-
2020-03-22 22:17, flood,49
2020-03-23 00:08, slack,-
2020-03-23 02:39, ebb,-27
2020-03-23 04:02, slack,-
2020-03-23 10:29, flood,45
2020-03-23 12:26, slack,-
2020-03-23 14:21, ebb,-28
2020-03-23 16:32, slack,-
2020-03-23 22:59, flood,46
2020-03-24 00:50, slack,-
2020-03-24 02:51, ebb,-28
2020-03-24 04:44, slack,-
2020-03-24 10:59, flood,43
2020-03-24 13:08, slack,-
2020-03-24 14:51, ebb,-29
2020-03-24 17:08, slack,-
2020-03-24 23:35, flood,43
2020-03-25 01:32, slack,-
2020-03-25 03:15, ebb,-29
2020-03-25 05:26, slack,-
2020-03-25 10:23, flood,42
2020-03-25 13:44, slack,-
2020-03-25 15:27, ebb,-30
2020-03-25 17:44, slack,-
2020-03-25 22:41, flood,40
2020-03-26 02:14, slack,-
2020-03-26 03:51, ebb,-29
2020-03-26 06:08, slack,-
2020-03-26 10:53, flood,42
2020-03-26 14:26, slack,-
2020-03-26 16:03, ebb,-30
2020-03-26 18:20, slack,-
2020-03-26 23:05, flood,40
2020-03-27 02:50, slack,-
2020-03-27 04:27, ebb,-30
2020-03-27 06:50, slack,-
2020-03-27 11:35, flood,41
2020-03-27 15:08, slack,-
2020-03-27 16:45, ebb,-30
2020-03-27 18:56, slack,-
2020-03-27 23:41, flood,40
2020-03-28 03:26, slack,-
2020-03-28 05:09, ebb,-30
2020-03-28 07:32, slack,-
2020-03-28 12:17, flood,40
2020-03-28 15:50, slack,-
2020-03-28 17:27, ebb,-30
2020-03-28 19:32, slack,-
2020-03-29 00:23, flood,40
2020-03-29 04:08, slack,-
2020-03-29 05:51, ebb,-30
2020-03-29 08:14, slack,-
2020-03-29 13:11, flood,38
2020-03-29 16:32, slack,-
2020-03-29 18:09, ebb,-29
2020-03-29 20:20, slack,-
2020-03-30 01:11, flood,39
2020-03-30 04:44, slack,-
2020-03-30 06:33, ebb,-30
2020-03-30 09:02, slack,-
2020-03-30 13:59, flood,38
2020-03-30 17:20, slack,-
2020-03-30 18:57, ebb,-28
2020-03-30 21:08, slack,-
2020-03-31 02:05, flood,39
2020-03-31 05:32, slack,-
2020-03-31 07:21, ebb,-29
2020-03-31 10:02, slack,-
2020-03-31 14:53, flood,38
2020-03-31 18:14, slack,-
2020-03-31 19:51, ebb,-27
2020-03-31 22:02, slack,-
2020-04-01 02:59, flood,39
2020-04-01 06:20, slack,-
2020-04-01 08:15, ebb,-29
2020-04-01 10:56, slack,-
2020-04-01 15:47, flood,38
2020-04-01 19:08, slack,-
2020-04-01 20:45, ebb,-27
2020-04-01 23:02, slack,-
2020-04-02 03:47, flood,40
2020-04-02 07:20, slack,-
2020-04-02 09:09, ebb,-29
2020-04-02 11:50, slack,-
2020-04-02 16:41, flood,40
2020-04-02 20:08, slack,-
2020-04-02 21:39, ebb,-27
2020-04-03 00:02, slack,-
2020-04-03 04:47, flood,42
2020-04-03 08:20, slack,-
2020-04-03 10:09, ebb,-29
2020-04-03 12:44, slack,-
2020-04-03 17:41, flood,42
2020-04-03 21:02, slack,-
2020-04-03 22:39, ebb,-28
2020-04-04 00:56, slack,-
2020-04-04 05:47, flood,45
2020-04-04 09:20, slack,-
2020-04-04 11:09, ebb,-32
2020-04-04 13:38, slack,-
2020-04-04 18:35, flood,45
2020-04-04 22:02, slack,-
2020-04-04 23:39, ebb,-31
2020-04-05 01:50, slack,-
2020-04-05 06:41, flood,48
2020-04-05 10:20, slack,-
2020-04-05 12:03, ebb,-34
2020-04-05 14:32, slack,-
2020-04-05 19:35, flood,49
2020-04-05 22:56, slack,-
2020-04-06 00:33, ebb,-34
2020-04-06 02:44, slack,-
2020-04-06 07:47, flood,51
2020-04-06 11:14, slack,-
2020-04-06 12:57, ebb,-37
2020-04-06 15:20, slack,-
2020-04-06 20:41, flood,52
2020-04-06 23:44, slack,-
2020-04-07 01:27, ebb,-37
2020-04-07 03:38, slack,-
2020-04-07 08:47, flood,54
2020-04-07 12:08, slack,-
2020-04-07 13:51, ebb,-38
2020-04-07 16:08, slack,-
2020-04-07 21:35, flood,55
2020-04-08 00:38, slack,-
2020-04-08 02:21, ebb,-39
2020-04-08 04:32, slack,-
2020-04-08 09:53, flood,56
2020-04-08 13:02, slack,-
2020-04-08 14:39, ebb,-39
2020-04-08 16:56, slack,-
2020-04-08 22:23, flood,56
2020-04-09 01:26, slack,-
2020-04-09 03:09, ebb,-40
2020-04-09 05:20, slack,-
2020-04-09 10:47, flood,56
2020-04-09 13:50, slack,-
2020-04-09 15:33, ebb,-39
2020-04-09 17:44, slack,-
2020-04-09 23:05, flood,55
2020-04-10 02:14, slack,-
2020-04-10 03:57, ebb,-40
2020-04-10 06:14, slack,-
2020-04-10 11:47, flood,53
2020-04-10 14:44, slack,-
2020-04-10 16:21, ebb,-37
2020-04-10 18:32, slack,-
2020-04-10 23:59, flood,51
2020-04-11 03:08, slack,-
2020-04-11 04:45, ebb,-38
2020-04-11 07:08, slack,-
2020-04-11 13:17, flood,50
2020-04-11 15:38, slack,-
2020-04-11 17:09, ebb,-35
2020-04-11 19:26, slack,-
2020-04-12 01:05, flood,46
2020-04-12 03:56, slack,-
2020-04-12 05:33, ebb,-36
2020-04-12 08:02, slack,-
2020-04-12 14:29, flood,48
2020-04-12 16:32, slack,-
2020-04-12 18:03, ebb,-31
2020-04-12 20:20, slack,-
2020-04-13 02:35, flood,42
2020-04-13 04:50, slack,-
2020-04-13 06:27, ebb,-32
2020-04-13 09:08, slack,-
2020-04-13 15:29, flood,46
2020-04-13 17:26, slack,-
2020-04-13 18:51, ebb,-28
2020-04-13 21:20, slack,-
2020-04-14 03:41, flood,39
2020-04-14 05:44, slack,-
2020-04-14 07:15, ebb,-29
2020-04-14 10:08, slack,-
2020-04-14 16:29, flood,44
2020-04-14 18:26, slack,-
2020-04-14 19:51, ebb,-25
2020-04-14 22:26, slack,-
2020-04-15 04:47, flood,37
2020-04-15 06:44, slack,-
2020-04-15 08:09, ebb,-25
2020-04-15 11:14, slack,-
2020-04-15 17:29, flood,43
2020-04-15 19:20, slack,-
2020-04-15 20:51, ebb,-22
2020-04-15 23:26, slack,-
2020-04-16 05:47, flood,37
2020-04-16 07:38, slack,-
2020-04-16 09:15, ebb,-23
2020-04-16 10:57, ebb,-22
2020-04-16 12:08, slack,-
2020-04-16 18:29, flood,43
2020-04-16 20:20, slack,-
2020-04-16 23:21, ebb,-22
2020-04-17 00:26, slack,-
2020-04-17 06:47, flood,37
2020-04-17 08:38, slack,-
2020-04-17 11:57, ebb,-24
2020-04-17 13:02, slack,-
2020-04-17 19:23, flood,44
2020-04-17 21:14, slack,-
2020-04-18 00:15, ebb,-24
2020-04-18 01:14, slack,-
2020-04-18 07:41, flood,39
2020-04-18 09:32, slack,-
2020-04-18 12:39, ebb,-25
2020-04-18 13:50, slack,-
2020-04-18 20:17, flood,44
2020-04-18 22:08, slack,-
2020-04-19 01:03, ebb,-25
2020-04-19 02:02, slack,-
